Product_Name,URL,Price,Ratings,Availability,Is_Returnable
MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Black.,https://www.amazon.in/20000mAh-Sandstone-Triple-Charging-Delivery/dp/B08HV83HL3/ref=sxin_12_recs_zoco_stores_brand_identity_bs?content-id=amzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8%3Aamzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&crid=2KEXG0AT182UO&cv_ct_cx=xiaomi&dib=eyJ2IjoiMSJ9.Mp_Cetax2kCKWNh74rY0bOg0Eshh8AsJbP5uo6ZtfSGQs006sE8nZ7SLi6UiqLnZn5iRMC1z6IwVeFrRgqoDwRROaaLhMn-1oGXrhJIPkX1sx8jfuQpuxeM9gB2ruG_a.PV5adzrffRAUUIXDn4FuCpNVqNdu5P08-RMfwIHSgUg&dib_tag=se&keywords=xiaomi&pd_rd_i=B08HV83HL3&pd_rd_r=a4ba621e-56a6-4dc8-ac70-235bfc5b7d3d&pd_rd_w=2af0n&pd_rd_wg=JVuq4&pf_rd_p=2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&pf_rd_r=BX2RPMNZ5WJW7VR931Y1&qid=1717006650&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=xiaomi%2Caps%2C224&sr=1-1-0723f66e-ff99-43ba-a202-1be1089a8603,"2,149",4.2, In stock ,0
"Redmi Note 13 Pro Coral Purple, 8GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",https://www.amazon.in/Redmi-Purple-Storage-Flagship-TurboCharge/dp/B0CRQGT6QT/ref=sr_1_3?crid=2KEXG0AT182UO&dib=eyJ2IjoiMSJ9.ihBA5rtzdw8jcAeDrJGlc6dYHqMJWmh_Qt5oHSqC8zbj6i_-_3apbpwBDBZi9oVv_pwn--JNxkoXlX8ivdUgW8A_EQqn49KtE2NNyazbALICyEi6WjJUC6BURJY0TW2JYPaaBO1MpqxayvOxB90fjJ1RpYYFJRccTf-4tsxwyMPkP0GRYTvDPiXuhCzLFUSdnYIzSRI45GVxsKXVg7O0K3OayGuLZ4ABvtqY6mK3n4U.L-VFLC-RVhWviwTT19t_bjinxjkBxfp2V1svjVx4i34&dib_tag=se&keywords=xiaomi&qid=1717006650&sprefix=xiaomi%2Caps%2C224&sr=8-3,"26,999",3.9, In stock ,0
MI 10000mAh 3i Lithium Polymer Power Bank Dual Input(Micro-USB and Type C) and Output Ports 18W Fast Charging (Metallic Blue),https://www.amazon.in/Power-10000mAh-Metallic-Output-Charging/dp/B08HVJCW95/ref=sxin_12_recs_zoco_stores_brand_identity_bs?content-id=amzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8%3Aamzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&crid=2KEXG0AT182UO&cv_ct_cx=xiaomi&dib=eyJ2IjoiMSJ9.Mp_Cetax2kCKWNh74rY0bOg0Eshh8AsJbP5uo6ZtfSGQs006sE8nZ7SLi6UiqLnZn5iRMC1z6IwVeFrRgqoDwRROaaLhMn-1oGXrhJIPkX1sx8jfuQpuxeM9gB2ruG_a.PV5adzrffRAUUIXDn4FuCpNVqNdu5P08-RMfwIHSgUg&dib_tag=se&keywords=xiaomi&pd_rd_i=B08HVJCW95&pd_rd_r=a4ba621e-56a6-4dc8-ac70-235bfc5b7d3d&pd_rd_w=2af0n&pd_rd_wg=JVuq4&pf_rd_p=2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&pf_rd_r=BX2RPMNZ5WJW7VR931Y1&qid=1717006650&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=xiaomi%2Caps%2C224&sr=1-4-0723f66e-ff99-43ba-a202-1be1089a8603,"1,299",4.2, In stock ,0
"Redmi Lithiumpolymer 10000 Mah Fast Charging Slim Power Bank (Black, 10W Fast Charging, Dual Ports)",https://www.amazon.in/Redmi-10000-Charging-Power-Black/dp/B0851WMSDS/ref=sxin_12_recs_zoco_stores_brand_identity_bs?content-id=amzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8%3Aamzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&crid=2KEXG0AT182UO&cv_ct_cx=xiaomi&dib=eyJ2IjoiMSJ9.Mp_Cetax2kCKWNh74rY0bOg0Eshh8AsJbP5uo6ZtfSGQs006sE8nZ7SLi6UiqLnZn5iRMC1z6IwVeFrRgqoDwRROaaLhMn-1oGXrhJIPkX1sx8jfuQpuxeM9gB2ruG_a.PV5adzrffRAUUIXDn4FuCpNVqNdu5P08-RMfwIHSgUg&dib_tag=se&keywords=xiaomi&pd_rd_i=B0851WMSDS&pd_rd_r=a4ba621e-56a6-4dc8-ac70-235bfc5b7d3d&pd_rd_w=2af0n&pd_rd_wg=JVuq4&pf_rd_p=2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&pf_rd_r=BX2RPMNZ5WJW7VR931Y1&qid=1717006650&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=xiaomi%2Caps%2C224&sr=1-7-0723f66e-ff99-43ba-a202-1be1089a8603,"1,199",4.1, In stock ,0
"Redmi Lithiumpolymer 10000 Mah Fast Charging Slim Power Bank (Black, 10W Fast Charging, Dual Ports)",https://www.amazon.in/Redmi-10000-Charging-Power-Black/dp/B0851WMSDS/ref=sxin_12_recs_zoco_stores_brand_identity_bs?content-id=amzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8%3Aamzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&crid=2KEXG0AT182UO&cv_ct_cx=xiaomi&dib=eyJ2IjoiMSJ9.Mp_Cetax2kCKWNh74rY0bOg0Eshh8AsJbP5uo6ZtfSGQs006sE8nZ7SLi6UiqLnZn5iRMC1z6IwVeFrRgqoDwRROaaLhMn-1oGXrhJIPkX1sx8jfuQpuxeM9gB2ruG_a.PV5adzrffRAUUIXDn4FuCpNVqNdu5P08-RMfwIHSgUg&dib_tag=se&keywords=xiaomi&pd_rd_i=B0851WMSDS&pd_rd_r=a4ba621e-56a6-4dc8-ac70-235bfc5b7d3d&pd_rd_w=2af0n&pd_rd_wg=JVuq4&pf_rd_p=2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&pf_rd_r=BX2RPMNZ5WJW7VR931Y1&qid=1717006650&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=xiaomi%2Caps%2C224&sr=1-7-0723f66e-ff99-43ba-a202-1be1089a8603,"1,199",4.1, In stock ,0
"Xiaomi Handheld Garment Steamer, Compact and Foldable, Vertical and Horizontal, 1300 Watt, up to 24g/min, Kills 99.9%* bacteria, white",https://www.amazon.in/Xiaomi-Handheld-Foldable-Vertical-Horizontal/dp/B0D1CM3SMP/ref=sr_1_4?crid=2KEXG0AT182UO&dib=eyJ2IjoiMSJ9.ihBA5rtzdw8jcAeDrJGlc6dYHqMJWmh_Qt5oHSqC8zbj6i_-_3apbpwBDBZi9oVv_pwn--JNxkoXlX8ivdUgW8A_EQqn49KtE2NNyazbALICyEi6WjJUC6BURJY0TW2JYPaaBO1MpqxayvOxB90fjJ1RpYYFJRccTf-4tsxwyMPkP0GRYTvDPiXuhCzLFUSdnYIzSRI45GVxsKXVg7O0K3OayGuLZ4ABvtqY6mK3n4U.L-VFLC-RVhWviwTT19t_bjinxjkBxfp2V1svjVx4i34&dib_tag=se&keywords=xiaomi&qid=1717006650&sprefix=xiaomi%2Caps%2C224&sr=8-4,"2,499",4.0, In stock ,
"Redmi Lithiumpolymer 10000 Mah Fast Charging Slim Power Bank (Black, 10W Fast Charging, Dual Ports)",https://www.amazon.in/Redmi-10000-Charging-Power-Black/dp/B0851WMSDS/ref=sxin_12_recs_zoco_stores_brand_identity_bs?content-id=amzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8%3Aamzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&crid=2KEXG0AT182UO&cv_ct_cx=xiaomi&dib=eyJ2IjoiMSJ9.Mp_Cetax2kCKWNh74rY0bOg0Eshh8AsJbP5uo6ZtfSGQs006sE8nZ7SLi6UiqLnZn5iRMC1z6IwVeFrRgqoDwRROaaLhMn-1oGXrhJIPkX1sx8jfuQpuxeM9gB2ruG_a.PV5adzrffRAUUIXDn4FuCpNVqNdu5P08-RMfwIHSgUg&dib_tag=se&keywords=xiaomi&pd_rd_i=B0851WMSDS&pd_rd_r=a4ba621e-56a6-4dc8-ac70-235bfc5b7d3d&pd_rd_w=2af0n&pd_rd_wg=JVuq4&pf_rd_p=2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&pf_rd_r=BX2RPMNZ5WJW7VR931Y1&qid=1717006650&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=xiaomi%2Caps%2C224&sr=1-7-0723f66e-ff99-43ba-a202-1be1089a8603,"1,199",4.1, In stock ,0
MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Black.,https://www.amazon.in/20000mAh-Sandstone-Triple-Charging-Delivery/dp/B08HV83HL3/ref=sxin_12_recs_zoco_stores_brand_identity_bs?content-id=amzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8%3Aamzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&crid=2KEXG0AT182UO&cv_ct_cx=xiaomi&dib=eyJ2IjoiMSJ9.Mp_Cetax2kCKWNh74rY0bOg0Eshh8AsJbP5uo6ZtfSGQs006sE8nZ7SLi6UiqLnZn5iRMC1z6IwVeFrRgqoDwRROaaLhMn-1oGXrhJIPkX1sx8jfuQpuxeM9gB2ruG_a.PV5adzrffRAUUIXDn4FuCpNVqNdu5P08-RMfwIHSgUg&dib_tag=se&keywords=xiaomi&pd_rd_i=B08HV83HL3&pd_rd_r=a4ba621e-56a6-4dc8-ac70-235bfc5b7d3d&pd_rd_w=2af0n&pd_rd_wg=JVuq4&pf_rd_p=2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&pf_rd_r=BX2RPMNZ5WJW7VR931Y1&qid=1717006650&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=xiaomi%2Caps%2C224&sr=1-1-0723f66e-ff99-43ba-a202-1be1089a8603,"2,149",4.2, In stock ,0
"Redmi Note 13 Pro Coral Purple, 8GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",https://www.amazon.in/Redmi-Purple-Storage-Flagship-TurboCharge/dp/B0CRQGT6QT/ref=sr_1_3?crid=2KEXG0AT182UO&dib=eyJ2IjoiMSJ9.ihBA5rtzdw8jcAeDrJGlc6dYHqMJWmh_Qt5oHSqC8zbj6i_-_3apbpwBDBZi9oVv_pwn--JNxkoXlX8ivdUgW8A_EQqn49KtE2NNyazbALICyEi6WjJUC6BURJY0TW2JYPaaBO1MpqxayvOxB90fjJ1RpYYFJRccTf-4tsxwyMPkP0GRYTvDPiXuhCzLFUSdnYIzSRI45GVxsKXVg7O0K3OayGuLZ4ABvtqY6mK3n4U.L-VFLC-RVhWviwTT19t_bjinxjkBxfp2V1svjVx4i34&dib_tag=se&keywords=xiaomi&qid=1717006650&sprefix=xiaomi%2Caps%2C224&sr=8-3,"26,999",3.9, In stock ,0
MI 10000mAh 3i Lithium Polymer Power Bank Dual Input(Micro-USB and Type C) and Output Ports 18W Fast Charging (Metallic Blue),https://www.amazon.in/Power-10000mAh-Metallic-Output-Charging/dp/B08HVJCW95/ref=sxin_12_recs_zoco_stores_brand_identity_bs?content-id=amzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8%3Aamzn1.sym.2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&crid=2KEXG0AT182UO&cv_ct_cx=xiaomi&dib=eyJ2IjoiMSJ9.Mp_Cetax2kCKWNh74rY0bOg0Eshh8AsJbP5uo6ZtfSGQs006sE8nZ7SLi6UiqLnZn5iRMC1z6IwVeFrRgqoDwRROaaLhMn-1oGXrhJIPkX1sx8jfuQpuxeM9gB2ruG_a.PV5adzrffRAUUIXDn4FuCpNVqNdu5P08-RMfwIHSgUg&dib_tag=se&keywords=xiaomi&pd_rd_i=B08HVJCW95&pd_rd_r=a4ba621e-56a6-4dc8-ac70-235bfc5b7d3d&pd_rd_w=2af0n&pd_rd_wg=JVuq4&pf_rd_p=2cf737c5-74f1-432b-a07d-2fd7fff2f1c8&pf_rd_r=BX2RPMNZ5WJW7VR931Y1&qid=1717006650&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=xiaomi%2Caps%2C224&sr=1-4-0723f66e-ff99-43ba-a202-1be1089a8603,"1,299",4.2, In stock ,0
